                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0872,                0.61115,                0.85636,                0.93008,                0.84439,                0.92115,                0.71676,                 1.0083,                0.55573,                0.83005,             0.00011783,             0.00011783,             0.00011783
                     36,                 1.0816,                0.60958,                0.85559,                0.93453,                0.84489,                0.91836,                0.71796,                 1.0073,                0.55193,                0.82919,             0.00011609,             0.00011609,             0.00011609
                     37,                  1.083,                0.60648,                0.85371,                0.93634,                0.83954,                0.91783,                0.71154,                 1.0251,                0.56778,                0.83068,             0.00011436,             0.00011436,             0.00011436
                     38,                 1.0859,                0.60693,                0.85455,                0.93213,                0.85017,                0.91991,                0.72104,                 1.0043,                0.56318,                0.82866,             0.00011263,             0.00011263,             0.00011263
                     39,                 1.0798,                0.60414,                0.85301,                0.94895,                0.83429,                0.92086,                0.71835,                 1.0041,                0.54847,                0.82842,              0.0001109,              0.0001109,              0.0001109
                     40,                 1.0785,                  0.602,                0.85449,                0.92749,                 0.8587,                0.92179,                0.72285,                 1.0019,                0.55599,                0.82819,             0.00010917,             0.00010917,             0.00010917
                     41,                 1.0777,                0.60149,                0.85551,                0.91829,                0.85346,                0.92305,                0.72231,                  1.019,                0.55485,                0.82989,             0.00010743,             0.00010743,             0.00010743
                     42,                 1.0729,                0.60064,                0.85205,                0.94133,                0.85003,                0.92084,                0.71767,                  1.014,                0.56007,                0.82894,              0.0001057,              0.0001057,              0.0001057
                     43,                 1.0765,                0.59649,                0.85218,                0.92638,                0.86042,                0.92418,                 0.7233,                 1.0129,                0.55509,                 0.8294,             0.00010397,             0.00010397,             0.00010397
                     44,                 1.0652,                0.59186,                0.84975,                0.94298,                0.85113,                0.92831,                0.73095,                0.99292,                0.54783,                0.82657,             0.00010224,             0.00010224,             0.00010224
                     45,                  1.079,                0.59813,                0.85291,                0.92461,                0.86362,                0.92993,                0.72968,                0.99714,                0.56967,                0.82664,              0.0001005,              0.0001005,              0.0001005
                     46,                 1.0697,                0.59596,                0.85378,                0.93166,                0.85828,                0.92561,                0.72495,                  0.999,                0.56403,                0.82742,              9.877e-05,              9.877e-05,              9.877e-05
                     47,                  1.067,                0.59043,                0.85021,                0.94193,                0.85103,                 0.9236,                0.72706,                0.99754,                0.54317,                0.82736,             9.7037e-05,             9.7037e-05,             9.7037e-05
                     48,                 1.0671,                0.58898,                0.85196,                0.93822,                0.86596,                0.93206,                0.73005,                0.98833,                0.56552,                0.82635,             9.5305e-05,             9.5305e-05,             9.5305e-05
                     49,                 1.0698,                0.58929,                0.85136,                0.91722,                 0.8781,                0.93181,                0.73213,                0.99576,                0.54297,                 0.8267,             9.3573e-05,             9.3573e-05,             9.3573e-05
                     50,                 1.0589,                0.58629,                0.84951,                0.92489,                0.87978,                 0.9322,                0.73492,                0.98749,                0.53858,                0.82682,              9.184e-05,              9.184e-05,              9.184e-05
                     51,                 1.0694,                0.59157,                0.85316,                0.91584,                0.87915,                0.93123,                0.73138,                 0.9961,                0.53639,                0.82657,             9.0108e-05,             9.0108e-05,             9.0108e-05
