                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0562,                  5.587,                 4.3643,                      0,                      0,                      0,                      0,                 5.4394,                 5.4775,                 4.1614,              4.002e-05,              4.002e-05,              4.002e-05
                      2,                 5.2729,                 5.7282,                 4.3384,                      0,                      0,                      0,                      0,                 5.4417,                 5.4787,                 4.1636,             8.5852e-05,             8.5852e-05,             8.5852e-05
                      3,                 5.2146,                 5.5738,                  4.333,                      0,                      0,                      0,                      0,                 5.4459,                 5.4835,                 4.1673,             0.00013076,             0.00013076,             0.00013076
                      4,                   4.93,                 5.3278,                  4.279,                      0,                      0,                      0,                      0,                 5.4512,                 5.4917,                 4.1716,             0.00017474,             0.00017474,             0.00017474
                      5,                 4.8841,                 5.4838,                 4.2133,                      0,                      0,                      0,                      0,                 5.4565,                 5.5009,                 4.1759,              0.0002178,              0.0002178,              0.0002178
                      6,                  4.597,                 5.1241,                 4.1882,                      0,                      0,                      0,                      0,                 5.4631,                 5.5132,                 4.1816,             0.00025993,             0.00025993,             0.00025993
                      7,                 4.7511,                 5.2028,                 4.0864,                      0,                      0,                      0,                      0,                 5.4745,                  5.532,                 4.1909,             0.00030114,             0.00030114,             0.00030114
                      8,                 4.5722,                 5.0391,                 4.0636,                      0,                      0,                      0,                      0,                 5.4868,                 5.5505,                 4.2016,             0.00034143,             0.00034143,             0.00034143
                      9,                 4.3953,                 4.8468,                 4.0149,                      0,                      0,                      0,                      0,                 5.4938,                 5.5593,                 4.2085,             0.00038079,             0.00038079,             0.00038079
                     10,                 4.1224,                 4.6907,                 3.8603,                      0,                      0,                      0,                      0,                 5.5002,                 5.5648,                 4.2151,             0.00041922,             0.00041922,             0.00041922
                     11,                 4.2612,                 4.7153,                 3.9441,                      0,                      0,                      0,                      0,                 5.4998,                 5.5547,                 4.2171,             0.00045673,             0.00045673,             0.00045673
                     12,                  4.089,                  4.545,                 3.7569,                      0,                      0,                      0,                      0,                 5.4845,                 5.5316,                 4.2048,             0.00049332,             0.00049332,             0.00049332
                     13,                 3.8814,                 4.3827,                 3.7215,                      0,                      0,                      0,                      0,                 5.4584,                 5.5022,                  4.183,             0.00052898,             0.00052898,             0.00052898
                     14,                 3.8024,                 4.2354,                 3.6662,                      0,                      0,                      0,                      0,                 5.4678,                 5.5107,                  4.191,             0.00056372,             0.00056372,             0.00056372
                     15,                 3.7561,                 4.1643,                 3.4946,                      0,                      0,                      0,                      0,                 5.4889,                  5.529,                  4.209,             0.00057455,             0.00057455,             0.00057455
                     16,                 3.5669,                 4.1399,                 3.5013,                      0,                      0,                      0,                      0,                 5.5303,                 5.5683,                 4.2501,             0.00057455,             0.00057455,             0.00057455
                     17,                   3.54,                 4.0178,                 3.4139,                      0,                      0,                      0,                      0,                 5.5678,                  5.599,                 4.2838,             0.00056795,             0.00056795,             0.00056795
