                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0242,                 4.8395,                 2.2509,                      0,                      0,                      0,                      0,                 3.4466,                 4.9483,                 2.4297,              2.668e-05,              2.668e-05,              2.668e-05
                      2,                 2.6777,                 4.7437,                 1.9379,                 0.0002,                0.01235,                0.00011,                  2e-05,                 3.2267,                 4.8971,                 2.2309,             5.9436e-05,             5.9436e-05,             5.9436e-05
                      3,                 2.4988,                 4.6728,                 1.7793,                0.00172,                0.12346,                0.00262,                0.00052,                 2.8324,                 4.8394,                 1.9469,             9.1531e-05,             9.1531e-05,             9.1531e-05
                      4,                  2.321,                 4.4347,                 1.6752,                0.00235,                0.12346,                0.00318,                0.00097,                 2.5077,                 4.7428,                 1.6875,             0.00012297,             0.00012297,             0.00012297
                      5,                 2.0863,                 4.1719,                 1.5084,                0.00463,                0.14691,                0.00548,                0.00177,                 2.0878,                 4.6127,                 1.4554,             0.00015374,             0.00015374,             0.00015374
                      6,                 1.9543,                 3.8052,                 1.3784,                0.00484,                0.15926,                0.05204,                0.02962,                 2.0355,                 4.5719,                 1.4152,             0.00018386,             0.00018386,             0.00018386
                      7,                  1.966,                 3.5999,                 1.3381,                0.00607,                0.20141,                0.08716,                0.05098,                 1.9551,                 4.5029,                 1.3442,             0.00021331,             0.00021331,             0.00021331
                      8,                 1.8431,                 3.2938,                 1.3126,                0.01043,                0.31155,                0.09364,                0.04602,                 1.8727,                 4.3806,                 1.3207,              0.0002421,              0.0002421,              0.0002421
                      9,                 1.8446,                 3.0058,                 1.2173,                0.00953,                0.31362,                0.11086,                0.04982,                 1.8366,                 4.2786,                   1.31,             0.00027024,             0.00027024,             0.00027024
                     10,                 1.8072,                 2.9167,                 1.2452,                0.01236,                0.42245,                0.12009,                0.05149,                 1.7683,                 4.1153,                 1.2757,             0.00029771,             0.00029771,             0.00029771
                     11,                 1.6894,                 2.7979,                 1.2002,                0.99231,                0.04277,                0.12281,                0.05157,                 1.7143,                 3.9549,                 1.2498,             0.00032452,             0.00032452,             0.00032452
                     12,                 1.7508,                 2.8363,                 1.2107,                0.96958,                0.05897,                0.13698,                0.06089,                  1.716,                 3.7491,                 1.2341,             0.00035067,             0.00035067,             0.00035067
                     13,                 1.6825,                 2.6756,                 1.2138,                0.96545,                0.06349,                0.16703,                0.08582,                 1.7567,                 3.5466,                 1.2365,             0.00037617,             0.00037617,             0.00037617
                     14,                 1.7682,                 2.6971,                  1.229,                0.93546,                0.07937,                0.19778,                0.10602,                 1.8069,                 3.4197,                 1.2729,               0.000401,               0.000401,               0.000401
                     15,                 1.6819,                 2.3077,                 1.2249,                0.59389,                0.11268,                0.21913,                0.11701,                 1.8327,                 3.2772,                 1.2806,             0.00042517,             0.00042517,             0.00042517
                     16,                 1.7668,                 2.4696,                 1.2353,                0.63768,                0.25583,                0.20831,                0.11244,                 1.8484,                 3.2065,                 1.3053,             0.00044868,             0.00044868,             0.00044868
                     17,                 1.6399,                 2.3209,                 1.1651,                0.62422,                0.32892,                0.21664,                0.11097,                 1.8596,                 3.1306,                 1.3378,             0.00047153,             0.00047153,             0.00047153
                     18,                 1.6569,                 2.2639,                 1.1567,                0.63726,                0.21093,                0.23395,                0.12392,                 1.8619,                 3.0951,                 1.3766,             0.00049372,             0.00049372,             0.00049372
