                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9378,                 4.6815,                 1.1219,                0.01196,                0.16181,                0.02384,                0.01607,                 1.6689,                  8.299,                0.98558,             5.8119e-05,             5.8119e-05,             5.8119e-05
                      2,                  1.844,                 3.1028,                 1.0117,                0.65168,                0.10324,                0.07882,                0.05343,                 1.6423,                 5.5152,                0.95971,              0.0001153,              0.0001153,              0.0001153
                      3,                 1.7439,                 2.2917,                0.98519,                 0.5492,                0.13507,                0.12052,                0.08047,                 1.5246,                 3.4832,                0.93817,             0.00017132,             0.00017132,             0.00017132
                      4,                 1.6699,                 1.9268,                0.96786,                0.54925,                0.20379,                 0.1767,                0.12052,                 1.4616,                 1.8486,                0.92207,              0.0001698,              0.0001698,              0.0001698
                      5,                 1.5969,                 1.7197,                0.95355,                0.55811,                0.24675,                0.22661,                0.15677,                 1.4309,                 1.5217,                0.91497,              0.0001698,              0.0001698,              0.0001698
                      6,                 1.5533,                 1.5828,                 0.9455,                0.58146,                 0.2861,                0.26893,                0.18874,                   1.36,                 1.4138,                0.90214,             0.00016807,             0.00016807,             0.00016807
                      7,                 1.5219,                 1.5066,                0.94278,                0.61062,                0.30333,                0.29473,                0.20854,                 1.3723,                 1.3109,                0.89786,             0.00016634,             0.00016634,             0.00016634
                      8,                 1.5065,                 1.4272,                0.93598,                0.62065,                0.33537,                0.34415,                0.24728,                 1.3453,                 1.4158,                0.89157,              0.0001646,              0.0001646,              0.0001646
                      9,                 1.4842,                 1.3834,                0.92965,                0.62088,                0.36657,                0.37057,                0.26775,                 1.3091,                 1.3587,                0.88613,             0.00016287,             0.00016287,             0.00016287
                     10,                 1.4752,                 1.3509,                0.93034,                0.61563,                 0.3713,                0.39593,                 0.2864,                 1.2944,                 1.1146,                0.88316,             0.00016114,             0.00016114,             0.00016114
                     11,                  1.465,                 1.3141,                 0.9269,                0.64115,                0.39349,                0.42253,                0.30868,                 1.2869,                 1.4266,                0.88317,             0.00015941,             0.00015941,             0.00015941
                     12,                  1.432,                  1.255,                0.92102,                0.67117,                0.40863,                0.45272,                0.33162,                 1.2505,                 1.2941,                0.87766,             0.00015767,             0.00015767,             0.00015767
                     13,                  1.416,                 1.2395,                0.91676,                0.67302,                0.40878,                0.46883,                0.34467,                 1.2626,                 1.0035,                0.87661,             0.00015594,             0.00015594,             0.00015594
                     14,                 1.4134,                 1.2061,                0.91474,                0.65746,                0.44535,                 0.4936,                 0.3587,                 1.2521,                 1.0755,                0.87521,             0.00015421,             0.00015421,             0.00015421
                     15,                 1.3932,                 1.1793,                0.91387,                0.63562,                 0.4692,                0.51363,                0.37673,                 1.2355,                 1.0523,                0.87067,             0.00015248,             0.00015248,             0.00015248
                     16,                 1.3987,                 1.1618,                0.90887,                0.70055,                0.46696,                0.53636,                0.39445,                 1.2417,                0.92325,                0.87187,             0.00015074,             0.00015074,             0.00015074
                     17,                 1.4024,                 1.1459,                0.91045,                0.69251,                 0.4685,                0.54695,                0.40748,                 1.2271,                0.92148,                 0.8682,             0.00014901,             0.00014901,             0.00014901
                     18,                 1.3736,                 1.1223,                0.90372,                0.72096,                0.47963,                0.56589,                0.42039,                 1.2075,                0.98005,                0.86521,             0.00014728,             0.00014728,             0.00014728
                     19,                 1.3673,                 1.1017,                0.90454,                 0.7346,                0.50737,                0.59464,                0.44179,                 1.2149,                0.92288,                0.86551,             0.00014555,             0.00014555,             0.00014555
                     20,                 1.3636,                 1.0823,                0.90251,                0.71762,                0.51142,                 0.5991,                0.44572,                 1.2173,                0.87469,                0.86607,             0.00014382,             0.00014382,             0.00014382
                     21,                  1.346,                 1.0672,                0.90088,                0.72894,                 0.5332,                0.61066,                 0.4542,                  1.201,                0.91139,                0.86259,             0.00014208,             0.00014208,             0.00014208
                     22,                 1.3509,                 1.0513,                0.90218,                0.72697,                0.53699,                0.62174,                0.46192,                 1.2032,                0.90894,                0.86145,             0.00014035,             0.00014035,             0.00014035
                     23,                 1.3403,                 1.0406,                0.89793,                0.76202,                0.53842,                0.62885,                0.47313,                 1.1882,                0.84005,                0.86007,             0.00013862,             0.00013862,             0.00013862
                     24,                 1.3342,                 1.0303,                0.89805,                0.71243,                0.55805,                0.64417,                 0.4811,                 1.1812,                0.83278,                0.85777,             0.00013689,             0.00013689,             0.00013689
                     25,                 1.3375,                 1.0191,                0.89519,                0.75175,                0.55946,                0.64942,                0.48313,                 1.1727,                0.83586,                0.85796,             0.00013515,             0.00013515,             0.00013515
                     26,                 1.3348,                 1.0063,                0.89741,                0.72929,                0.59515,                0.66279,                0.49747,                 1.1799,                0.80981,                0.85888,             0.00013342,             0.00013342,             0.00013342
                     27,                 1.3124,                0.98932,                0.89543,                0.76068,                0.57832,                 0.6736,                0.49917,                 1.2016,                0.80871,                0.85825,             0.00013169,             0.00013169,             0.00013169
                     28,                  1.316,                0.97645,                0.89693,                0.74889,                0.58522,                0.68002,                0.51158,                 1.1559,                0.76605,                0.85521,             0.00012996,             0.00012996,             0.00012996
                     29,                 1.3101,                0.96699,                 0.8921,                0.74293,                0.59885,                0.68236,                0.51399,                 1.1594,                0.77411,                 0.8539,             0.00012822,             0.00012822,             0.00012822
                     30,                 1.3078,                0.96112,                0.89081,                 0.7535,                0.61849,                0.69886,                 0.5233,                 1.1716,                0.78195,                0.85624,             0.00012649,             0.00012649,             0.00012649
                     31,                 1.2926,                0.95065,                0.88909,                0.72812,                0.64423,                 0.7093,                0.53597,                 1.1442,                  0.756,                0.85274,             0.00012476,             0.00012476,             0.00012476
                     32,                  1.298,                0.94839,                0.89018,                0.75338,                0.62075,                0.70394,                0.53226,                 1.1444,                0.74381,                0.85307,             0.00012302,             0.00012302,             0.00012302
                     33,                 1.2868,                 0.9421,                0.88991,                0.82445,                0.60735,                0.71466,                0.53701,                 1.1578,                0.74229,                0.85315,             0.00012129,             0.00012129,             0.00012129
                     34,                  1.284,                0.92668,                0.88812,                0.76205,                0.64433,                0.72223,                0.54131,                 1.1423,                0.73832,                0.85198,             0.00011956,             0.00011956,             0.00011956
                     35,                 1.2922,                0.92498,                0.89076,                0.78725,                0.65711,                0.73212,                0.55254,                 1.1463,                 0.7417,                0.85124,             0.00011783,             0.00011783,             0.00011783
                     36,                 1.2862,                0.90862,                0.88921,                0.78618,                0.66005,                0.73367,                0.55704,                 1.1307,                0.74463,                0.84912,             0.00011609,             0.00011609,             0.00011609
                     37,                 1.2752,                0.89911,                0.88526,                0.76129,                0.67189,                0.74003,                0.56514,                 1.1173,                0.71319,                0.84812,             0.00011436,             0.00011436,             0.00011436
                     38,                 1.2813,                0.90111,                0.88539,                0.80474,                0.67516,                0.74795,                0.56762,                 1.1246,                0.70202,                0.84792,             0.00011263,             0.00011263,             0.00011263
                     39,                 1.2562,                0.88163,                0.88427,                0.83386,                0.65996,                0.75597,                0.57475,                 1.1278,                0.70903,                 0.8492,              0.0001109,              0.0001109,              0.0001109
