                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.2634,                 0.8828,                0.88383,                0.80701,                0.67943,                0.76166,                 0.5806,                  1.106,                0.69758,                 0.8468,             0.00010917,             0.00010917,             0.00010917
                     41,                 1.2662,                 0.8762,                0.88427,                0.83217,                0.69171,                0.76615,                0.58752,                 1.1118,                  0.692,                0.84685,             0.00010743,             0.00010743,             0.00010743
                     42,                 1.2537,                0.87696,                0.88361,                0.86311,                0.67834,                0.76668,                0.58537,                  1.108,                0.69641,                 0.8458,              0.0001057,              0.0001057,              0.0001057
                     43,                 1.2482,                0.86073,                0.88235,                0.83903,                0.69543,                0.77071,                0.58946,                 1.1011,                0.69424,                0.84477,             0.00010397,             0.00010397,             0.00010397
                     44,                 1.2518,                0.85839,                0.87975,                0.85178,                  0.699,                0.77741,                0.59526,                 1.1076,                0.67669,                 0.8458,             0.00010224,             0.00010224,             0.00010224
                     45,                 1.2393,                0.84485,                0.88347,                0.84589,                0.70371,                0.77923,                0.59614,                   1.11,                 0.6846,                0.84549,              0.0001005,              0.0001005,              0.0001005
                     46,                 1.2398,                0.84579,                0.88087,                 0.8388,                0.71898,                 0.7823,                0.59959,                 1.1035,                0.67687,                0.84413,              9.877e-05,              9.877e-05,              9.877e-05
                     47,                 1.2336,                0.82941,                0.87953,                0.86186,                 0.7137,                0.78636,                0.60428,                 1.0935,                0.67824,                0.84311,             9.7037e-05,             9.7037e-05,             9.7037e-05
                     48,                 1.2368,                0.83499,                 0.8799,                0.86054,                0.72954,                0.80145,                0.61355,                 1.0911,                 0.6729,                0.84343,             9.5305e-05,             9.5305e-05,             9.5305e-05
                     49,                 1.2377,                0.83125,                0.88025,                0.83508,                0.72894,                0.79965,                0.61447,                 1.0864,                0.66328,                0.84265,             9.3573e-05,             9.3573e-05,             9.3573e-05
                     50,                 1.2331,                0.83373,                0.87839,                0.87497,                0.71603,                0.80538,                0.61716,                 1.0999,                0.66069,                0.84342,              9.184e-05,              9.184e-05,              9.184e-05
                     51,                 1.2357,                0.82949,                0.88018,                0.86389,                0.72684,                0.80494,                0.61916,                 1.0855,                0.65536,                 0.8424,             9.0108e-05,             9.0108e-05,             9.0108e-05
                     52,                 1.2272,                0.81527,                0.87829,                0.86565,                0.72781,                 0.8057,                0.61588,                 1.0932,                0.66813,                0.84314,             8.8375e-05,             8.8375e-05,             8.8375e-05
                     53,                 1.2357,                0.82229,                0.87907,                0.88316,                0.73526,                 0.8172,                0.62606,                  1.081,                0.64989,                0.84151,             8.6642e-05,             8.6642e-05,             8.6642e-05
                     54,                 1.2343,                 0.8208,                0.87994,                0.88265,                0.73146,                 0.8147,                0.62376,                  1.084,                0.65609,                0.84176,              8.491e-05,              8.491e-05,              8.491e-05
                     55,                 1.2341,                0.81228,                0.87572,                 0.8835,                0.73584,                0.81405,                0.62679,                 1.0744,                0.64442,                0.84125,             8.3178e-05,             8.3178e-05,             8.3178e-05
                     56,                 1.2146,                0.79998,                0.87507,                0.88027,                0.73536,                0.81458,                0.62933,                 1.0771,                0.65154,                0.84066,             8.1445e-05,             8.1445e-05,             8.1445e-05
                     57,                 1.2126,                0.79389,                0.87797,                0.89244,                0.72863,                0.81924,                0.62842,                 1.0882,                0.64967,                0.84181,             7.9712e-05,             7.9712e-05,             7.9712e-05
                     58,                 1.2197,                 0.7942,                0.87567,                0.89372,                0.73862,                0.82095,                0.63176,                 1.0785,                0.63903,                0.84075,              7.798e-05,              7.798e-05,              7.798e-05
                     59,                  1.218,                0.79629,                0.87683,                0.87788,                0.75124,                0.82542,                0.63732,                 1.0703,                0.64446,                 0.8396,             7.6247e-05,             7.6247e-05,             7.6247e-05
                     60,                 1.2171,                0.79293,                0.87595,                0.89043,                0.74943,                0.83545,                0.64245,                 1.0722,                0.63883,                0.83926,             7.4515e-05,             7.4515e-05,             7.4515e-05
                     61,                 1.2108,                0.78585,                0.87493,                0.89904,                0.74139,                0.82947,                0.64188,                 1.0673,                0.64556,                0.83869,             7.2783e-05,             7.2783e-05,             7.2783e-05
                     62,                 1.2089,                0.78585,                0.87584,                0.89241,                0.74672,                0.83831,                0.64724,                 1.0627,                0.63969,                0.83896,              7.105e-05,              7.105e-05,              7.105e-05
                     63,                 1.2032,                0.77539,                0.87583,                0.90213,                0.74941,                0.84427,                0.65263,                  1.062,                0.63901,                0.83821,             6.9317e-05,             6.9317e-05,             6.9317e-05
                     64,                 1.2029,                0.77221,                0.87231,                0.90374,                0.75657,                0.84571,                0.65074,                 1.0608,                0.63033,                0.83791,             6.7585e-05,             6.7585e-05,             6.7585e-05
                     65,                 1.2094,                0.77619,                0.87378,                0.90797,                0.75874,                0.84865,                0.65461,                 1.0657,                0.63468,                0.83838,             6.5853e-05,             6.5853e-05,             6.5853e-05
                     66,                 1.2071,                0.77497,                0.87404,                   0.92,                0.75281,                0.84844,                0.65836,                 1.0597,                0.63291,                0.83756,              6.412e-05,              6.412e-05,              6.412e-05
                     67,                 1.2055,                0.77169,                0.87125,                0.91813,                0.75404,                0.84744,                0.65485,                 1.0612,                0.62233,                0.83771,             6.2387e-05,             6.2387e-05,             6.2387e-05
                     68,                 1.2038,                0.77406,                0.87341,                0.92792,                0.75046,                0.84881,                0.65676,                 1.0561,                0.62965,                0.83707,             6.0655e-05,             6.0655e-05,             6.0655e-05
                     69,                 1.1946,                 0.7611,                0.87315,                0.92383,                0.75852,                0.85223,                0.65699,                 1.0522,                0.63389,                0.83639,             5.8922e-05,             5.8922e-05,             5.8922e-05
                     70,                 1.1906,                0.76368,                0.87286,                0.91902,                0.75903,                0.85043,                0.65687,                 1.0612,                0.61512,                0.83696,              5.719e-05,              5.719e-05,              5.719e-05
                     71,                 1.1957,                0.76557,                0.87182,                0.93073,                0.75516,                0.85414,                0.66252,                 1.0474,                0.62206,                0.83582,             5.5458e-05,             5.5458e-05,             5.5458e-05
                     72,                  1.184,                0.75039,                0.87412,                0.92492,                0.75792,                0.85643,                0.66398,                 1.0541,                0.61545,                0.83636,             5.3725e-05,             5.3725e-05,             5.3725e-05
                     73,                 1.1885,                0.75369,                0.87231,                0.91444,                 0.7646,                0.85629,                0.66182,                 1.0611,                0.61639,                0.83649,             5.1993e-05,             5.1993e-05,             5.1993e-05
                     74,                 1.1898,                0.75292,                0.87034,                0.92108,                0.76581,                0.85594,                0.66536,                  1.044,                0.61124,                0.83493,              5.026e-05,              5.026e-05,              5.026e-05
                     75,                 1.1967,                0.75562,                0.87233,                0.92298,                0.76043,                0.85409,                0.66268,                 1.0463,                0.60537,                 0.8352,             4.8528e-05,             4.8528e-05,             4.8528e-05
                     76,                 1.1796,                0.74638,                0.87131,                0.92925,                0.76456,                0.86318,                0.66846,                 1.0494,                0.60478,                0.83546,             4.6795e-05,             4.6795e-05,             4.6795e-05
                     77,                 1.1786,                0.74848,                0.87085,                 0.9282,                0.76508,                 0.8589,                0.66698,                 1.0485,                0.60721,                0.83501,             4.5062e-05,             4.5062e-05,             4.5062e-05
                     78,                 1.1685,                 0.7398,                0.86999,                0.91711,                0.77296,                0.86178,                0.67003,                 1.0454,                0.61218,                0.83478,              4.333e-05,              4.333e-05,              4.333e-05
                     79,                 1.1779,                0.73913,                0.87016,                0.92631,                0.77177,                0.86593,                0.67347,                 1.0396,                0.60505,                0.83465,             4.1597e-05,             4.1597e-05,             4.1597e-05
                     80,                 1.1876,                0.75172,                0.86931,                0.92681,                0.77187,                0.86597,                0.67209,                 1.0487,                0.60703,                0.83511,             3.9865e-05,             3.9865e-05,             3.9865e-05
                     81,                 1.1798,                0.73725,                0.86876,                0.92619,                0.77393,                0.86501,                0.67222,                 1.0398,                0.60115,                0.83458,             3.8132e-05,             3.8132e-05,             3.8132e-05
                     82,                 1.1809,                0.74293,                0.86815,                0.93072,                0.77095,                0.86538,                0.67225,                 1.0458,                0.60414,                0.83464,               3.64e-05,               3.64e-05,               3.64e-05
                     83,                  1.171,                0.73753,                0.86836,                0.92983,                0.77318,                0.86544,                0.67191,                 1.0437,                 0.5993,                0.83467,             3.4667e-05,             3.4667e-05,             3.4667e-05
                     84,                 1.1774,                0.74234,                0.86982,                0.93109,                 0.7765,                0.86698,                0.67425,                 1.0384,                 0.5962,                0.83393,             3.2935e-05,             3.2935e-05,             3.2935e-05
                     85,                 1.1764,                0.73993,                0.86979,                0.92132,                 0.7809,                 0.8696,                0.67531,                 1.0388,                0.59595,                0.83396,             3.1203e-05,             3.1203e-05,             3.1203e-05
                     86,                 1.1705,                0.73772,                0.86886,                0.93175,                0.77257,                0.86449,                 0.6728,                 1.0378,                0.59566,                0.83336,              2.947e-05,              2.947e-05,              2.947e-05
                     87,                 1.1685,                 0.7268,                0.86606,                0.92846,                0.77914,                 0.8678,                0.67749,                 1.0364,                0.59625,                0.83312,             2.7738e-05,             2.7738e-05,             2.7738e-05
                     88,                 1.1688,                0.73477,                0.86687,                0.92627,                0.78002,                0.87004,                0.67602,                 1.0438,                0.59479,                0.83453,             2.6005e-05,             2.6005e-05,             2.6005e-05
                     89,                  1.171,                0.73209,                 0.8693,                0.92793,                0.77903,                0.86863,                0.67826,                 1.0353,                0.59192,                0.83368,             2.4273e-05,             2.4273e-05,             2.4273e-05
                     90,                 1.1723,                0.72953,                0.86885,                0.92623,                0.78016,                 0.8699,                0.67982,                  1.035,                0.59114,                0.83326,              2.254e-05,              2.254e-05,              2.254e-05
                     91,                 1.1393,                 0.7082,                0.86248,                0.92929,                0.76791,                0.86058,                0.66515,                 1.0505,                0.63293,                0.83477,             2.0807e-05,             2.0807e-05,             2.0807e-05
                     92,                 1.1294,                0.69641,                0.86168,                0.92399,                0.77517,                0.86741,                0.67362,                  1.045,                 0.6084,                0.83407,             1.9075e-05,             1.9075e-05,             1.9075e-05
                     93,                 1.1187,                0.68019,                0.86168,                0.92805,                0.77252,                0.86619,                0.67198,                 1.0477,                0.60351,                0.83431,             1.7342e-05,             1.7342e-05,             1.7342e-05
                     94,                 1.1168,                 0.6755,                0.85781,                 0.9323,                0.77194,                0.86751,                 0.6745,                 1.0418,                0.59772,                0.83407,              1.561e-05,              1.561e-05,              1.561e-05
                     95,                 1.1243,                0.68623,                0.86096,                0.93113,                0.77615,                0.86901,                0.67624,                 1.0399,                0.59709,                0.83351,             1.3877e-05,             1.3877e-05,             1.3877e-05
                     96,                  1.126,                0.68614,                0.86316,                0.92633,                0.77613,                0.86744,                0.67333,                 1.0476,                0.60037,                0.83445,             1.2145e-05,             1.2145e-05,             1.2145e-05
                     97,                 1.1161,                0.67527,                0.86023,                0.93198,                0.77887,                 0.8687,                0.67658,                 1.0394,                0.59629,                0.83352,             1.0413e-05,             1.0413e-05,             1.0413e-05
                     98,                 1.1138,                0.67362,                0.85908,                0.93355,                0.77848,                0.86982,                0.67839,                 1.0399,                 0.5936,                0.83401,               8.68e-06,               8.68e-06,               8.68e-06
                     99,                 1.1125,                0.67257,                0.86129,                 0.9348,                0.77877,                0.86903,                0.67817,                 1.0327,                0.59224,                0.83294,             6.9475e-06,             6.9475e-06,             6.9475e-06
                    100,                 1.1131,                 0.6744,                0.85839,                0.93242,                0.77969,                0.87329,                0.67992,                 1.0348,                0.59164,                0.83309,              5.215e-06,              5.215e-06,              5.215e-06
